symbol,instrument_token,tradingsymbol,name,last_price,lot_size
NSE:ASIANHOTNR,4716033,ASIANHOTNR,ASIAN HOTELS (NORTH),0,1
NSE:ASIANPAINT,60417,ASIANPAINT,ASIAN PAINTS,0,1
NSE:ASIANTILES,3811585,ASIANTILES,ASIAN GRANITO IND.,0,1
NSE:ASKAUTOLTD,5158913,ASKAUTOLTD,ASK AUTOMOTIVE,0,1
NSE:ASPINWALL,4421121,ASPINWALL,ASPINWALL & CO,0,1
NSE:ASTAR,195213569,ASTAR,ASIAN STAR CO.,0,1
NSE:ASTEC,4538369,ASTEC,ASTEC LIFESCIENCES,0,1
NSE:ASTERDM,386049,ASTERDM,ASTER DM HEALTHCARE,0,1
NSE:ASTRAL,3691009,ASTRAL,ASTRAL,0,1
NSE:ASTRAMICRO,2974209,ASTRAMICRO,ASTRA MICROWAVE,0,1
NSE:ASTRAZEN,1436161,ASTRAZEN,ASTRAZENECA PHARMA IND LT,0,1
NSE:ATALREAL,4006145,ATALREAL,ATAL REALTECH,0,1
NSE:ATAM,3943425,ATAM,ATAM VALVES,0,1
NSE:ATGL,1552897,ATGL,ADANI TOTAL GAS,0,1
NSE:ATHERENERG,193957121,ATHERENERG,ATHER ENERGY,0,1
NSE:ATL,4551169,ATL,ALLCARGO TERMINALS,0,1
NSE:ATLANTAA,3477761,ATLANTAA,ATLANTAA,0,1
NSE:ATLANTAELE,194305793,ATLANTAELE,ATLANTA ELECTRICALS,0,1
NSE:ATLASCYCLE,1169409,ATLASCYCLE,ATLAS CYCLE (HARYANA),0,1
NSE:ATUL,67329,ATUL,ATUL,0,1
NSE:ATULAUTO,7685889,ATULAUTO,ATUL AUTO,0,1
NSE:AUBANK,5436929,AUBANK,AU SMALL FINANCE BANK,0,1
NSE:AURIONPRO,3077633,AURIONPRO,AURIONPRO SOLN,0,1
NSE:AUROPHARMA,70401,AUROPHARMA,AUROBINDO PHARMA,0,1
NSE:AURUM,2639361,AURUM,AURUM PROPTECH,0,1
NSE:AUTOAXLES,71169,AUTOAXLES,AUTOMOTIVE AXLES,0,1
NSE:AVALON,3854849,AVALON,AVALON TECHNOLOGIES,0,1
NSE:AVANTEL,6300161,AVANTEL,AVANTEL,0,1
NSE:AVANTIFEED,2031617,AVANTIFEED,AVANTI FEEDS,0,1
NSE:AVL,6651905,AVL,ADITYA VISION,0,1
NSE:AVONMORE,3470593,AVONMORE,AVONMORE CAP&MGT SERV,0,1
NSE:AVROIND,2259713,AVROIND,AVRO INDIA,0,1
NSE:AVTNPL,3586049,AVTNPL,AVT NATURAL PRODUCTS,0,1
NSE:AWFIS,6109185,AWFIS,AWFIS SPACE SOLUTIONS,0,1
NSE:AWHCL,460033,AWHCL,ANTONY WASTE HDG CELL,0,1
NSE:AWL,2076161,AWL,AWL AGRI BUSINESS,0,1
NSE:AXISBANK,1510401,AXISBANK,AXIS BANK,0,1
NSE:AXISCADES,2415617,AXISCADES,AXISCADES TECH,0,1
NSE:AXISGOINAV,2109185,AXISGOINAV,AXISGOLD NAV,0,1
NSE:AXISILINAV,2868737,AXISILINAV,AXISAMC - AXISILINAV,0,1
NSE:AXISNIINAV,2557185,AXISNIINAV,AXISNIFTY INAV,0,1
NSE:AXISVAINAV,7720449,AXISVAINAV,AXISAMC - AXISVAINAV,0,1
NSE:AXITA,2534913,AXITA,AXITA COTTON,0,1
NSE:AXSNSXINAV,3774977,AXSNSXINAV,AXISAMC - AXSNSXINAV,0,1
NSE:AYE,194811137,AYE,AYE FINANCE,0,1
NSE:AYMSYNTEX,2632961,AYMSYNTEX,AYM SYNTEX,0,1
NSE:AZAD,5351681,AZAD,AZAD ENGINEERING,0,1
NSE:BAGFILMS,2873857,BAGFILMS,B.A.G FILMS AND MEDIA,0,1
NSE:BAIDFIN,3531265,BAIDFIN,BAID FINSERV,0,1
NSE:BAJAJCON,4999937,BAJAJCON,BAJAJ CONSUMER CARE,0,1
NSE:BAJAJELEC,3848705,BAJAJELEC,BAJAJ ELECT.LTD,0,1
NSE:BAJAJFINSV,4268801,BAJAJFINSV,BAJAJ FINSERV,0,1
NSE:BAJAJHCARE,1756929,BAJAJHCARE,BAJAJ HEALTHCARE,0,1
NSE:BAJAJHFL,6469121,BAJAJHFL,BAJAJ HOUSING FINANCE,0,1
NSE:BAJAJHIND,78849,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,0,1
NSE:BAJAJHLDNG,78081,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,0,1
NSE:BAJAJINDEF,7597569,BAJAJINDEF,INDEF MANUFACTURING,0,1
NSE:BAJAJST,195216129,BAJAJST,BAJAJ STEEL INDS.,0,1
NSE:BAJEL,5255937,BAJEL,BAJEL PROJECTS,0,1
NSE:BAJFINANCE,81153,BAJFINANCE,BAJAJ FINANCE,0,1
NSE:BALAJEE,6451969,BALAJEE,SHREE TIRUPATI BALAJEE L,0,1
NSE:BALAJITELE,2344449,BALAJITELE,BALAJI TELEFILMS,0,1
NSE:BALAMINES,3712257,BALAMINES,BALAJI AMINES,0,1
NSE:BALKRISHNA,2606337,BALKRISHNA,BALKRISHNA PAPER MILLS L,0,1
NSE:BALKRISIND,85761,BALKRISIND,BALKRISHNA IND.,0,1
NSE:BALMLAWRIE,86529,BALMLAWRIE,BALMER LAWRIE & CO,0,1
NSE:BALPHARMA,3440897,BALPHARMA,BAL PHARMA,0,1
NSE:BALRAMCHIN,87297,BALRAMCHIN,BALRAMPUR CHINI MILLS,0,1
NSE:BALUFORGE,6043393,BALUFORGE,BALU FORGE INDUSTRIES,0,1
NSE:BANARBEADS,88833,BANARBEADS,BANARAS BEADS,0,1
NSE:BANARISUG,89601,BANARISUG,BANNARI AMMAN SUGARS,0,1
NSE:BANCOINDIA,3553281,BANCOINDIA,BANCO PRODUCTS (I),0,1
NSE:BANDHANBNK,579329,BANDHANBNK,BANDHAN BANK,0,1
NSE:BANG,3917569,BANG,BANG OVERSEAS,0,1
NSE:BANK10ADD,194909185,BANK10ADD,DSPAMC - BANK10ADD,0,1
NSE:BANKBARODA,1195009,BANKBARODA,BANK OF BARODA,0,1
NSE:BANKINDIA,1214721,BANKINDIA,BANK OF INDIA,0,1
NSE:BANSALWIRE,6242817,BANSALWIRE,BANSAL WIRE INDUSTRIES L,0,1
NSE:BANSWRAS,3714817,BANSWRAS,BANSWARA SYNTEX,0,1
NSE:BASF,94209,BASF,BASF INDIA,0,1
NSE:BATAINDIA,94977,BATAINDIA,BATA INDIA,0,1
NSE:BATLIBOI,195217409,BATLIBOI,BATLIBOI,0,1
NSE:BAYERCROP,4589313,BAYERCROP,BAYER CROPSCIENCE,0,1
NSE:BBL,3522817,BBL,BHARAT BIJLEE,0,1
NSE:BBNPNBINAV,6175233,BBNPNBINAV,BARODABNP - BBNPNBINAV,0,1
NSE:BBOX,879361,BBOX,BLACK BOX,0,1
NSE:BBTC,97281,BBTC,BOMBAY BURMAH TRADING COR,0,1
NSE:BBTCL,3111169,BBTCL,B&B TRIPLEWALL CONT,0,1
NSE:BCG,2261249,BCG,BRIGHTCOM GROUP,0,1
NSE:BCLIND,643329,BCLIND,BCL INDUSTRIES,0,1
NSE:BCONCEPTS,1991681,BCONCEPTS,BRAND CONCEPTS,0,1
NSE:BCPL,194942465,BCPL,BCPL RAILWAY INFRA,0,1
NSE:BDL,548865,BDL,BHARAT DYNAMICS,0,1
NSE:BEARDSELL,4590849,BEARDSELL,BEARDSELL,0,1
NSE:BECTORFOOD,416769,BECTORFOOD,MRS BECTORS FOOD SPE,0,1
NSE:BEDMUTHA,5170177,BEDMUTHA,BEDMUTHA INDUST,0,1
NSE:BEEKAY,195218689,BEEKAY,BEEKAY STEEL INDS.,0,1
NSE:BEL,98049,BEL,BHARAT ELECTRONICS,0,1
NSE:BELLACASA,194032129,BELLACASA,BELLA CASA FASH AND RET L,0,1
NSE:BELRISE,193818113,BELRISE,BELRISE INDUSTRIES,0,1
NSE:BEML,101121,BEML,BEML,0,1
NSE:BENGALASM,195219969,BENGALASM,BENGAL & ASSAM CO.,0,1
NSE:BEPL,107265,BEPL,BHANSALI ENG. POLYMERS LT,0,1
NSE:BERGEPAINT,103425,BERGEPAINT,BERGER PAINTS (I),0,1
NSE:BESTAGRO,590337,BESTAGRO,BEST AGROLIFE,0,1
NSE:BETA,194519553,BETA,BETA DRUGS,0,1
NSE:BFINVEST,5404929,BFINVEST,BF INVESTMENT,0,1
NSE:BFUTILITIE,3729153,BFUTILITIE,BF UTILITIES,0,1
NSE:BHAGCHEM,1577985,BHAGCHEM,BHAGIRADHA CHEM & INDS L,0,1
NSE:BHARATCOAL,194745857,BHARATCOAL,BHARAT COKING COAL,0,1
NSE:BHARATFORG,108033,BHARATFORG,BHARAT FORGE,0,1
NSE:BHARATRAS,981505,BHARATRAS,BHARAT RASAYAN,0,1
NSE:BHARATSE,7742465,BHARATSE,BHARAT SEATS,0,1
NSE:BHARATWIRE,4127489,BHARATWIRE,BHARAT WIRE ROPES,0,1
NSE:BHARTIARTL,2714625,BHARTIARTL,BHARTI AIRTEL,0,1
NSE:BHARTIHEXA,6013185,BHARTIHEXA,BHARTI HEXACOM,0,1
NSE:BHEL,112129,BHEL,BHEL,0,1
NSE:BI,195221249,BI,BILCARE,0,1
NSE:BIGBLOC,4718337,BIGBLOC,BIGBLOC CONSTRUCTION,0,1
NSE:BIKAJI,3063297,BIKAJI,BIKAJI FOODS INTERN,0,1
NSE:BIL,2009089,BIL,BHARTIYA INTERNATIONAL,0,1
NSE:BIMETAL,195222529,BIMETAL,BIMETAL BEARINGS,0,1
NSE:BIOCON,2911489,BIOCON,BIOCON,0,1
NSE:BIOFILCHEM,1058817,BIOFILCHEM,BIOFIL CHEM & PHARMA,0,1
NSE:BIRLACORPN,122881,BIRLACORPN,BIRLA CORPORATION,0,1
NSE:BIRLAMONEY,3901185,BIRLAMONEY,ADITYA BIRLA MONEY,0,1
NSE:BIRLANU,372481,BIRLANU,BIRLANU,0,1
NSE:BIRLAPREC,195223809,BIRLAPREC,BIRLA PRECISION TECH L,0,1
NSE:BLACKBUCK,6948865,BLACKBUCK,BLACKBUCK,0,1
NSE:BLAL,3857153,BLAL,BEML LAND ASSETS,0,1
NSE:BLBLIMITED,2081793,BLBLIMITED,BLB,0,1
NSE:BLIL,195226369,BLIL,BALMER LAWRIE INVSTS. L,0,1
NSE:BLKASHYAP,3402241,BLKASHYAP,B.L.KASHYAP & SON,0,1
NSE:BLS,4423425,BLS,BLS INTL SERVS,0,1
NSE:BLSE,5776897,BLSE,BLS E-SERVICES,0,1
NSE:BLUEDART,126721,BLUEDART,BLUE DART EXPRESS,0,1
NSE:BLUEJET,5039617,BLUEJET,BLUE JET HEALTHCARE,0,1
NSE:BLUESTARCO,2127617,BLUESTARCO,BLUE STAR,0,1
NSE:BLUESTONE,194378497,BLUESTONE,BLUESTONE JEWEL LFSTL,0,1
NSE:BLUSPRING,193925121,BLUSPRING,BLUSPRING ENTERPRISES,0,1
NSE:BMWVENTLTD,194369537,BMWVENTLTD,BMW VENTURES,0,1
NSE:BNALTD,195228929,BNALTD,B & A,0,1
NSE:BNGOLDINAV,5260801,BNGOLDINAV,BARODABNP - BNGOLDINAV,0,1
NSE:BNK10DINAV,7836161,BNK10DINAV,DSPAMC - BNK10DINAV,0,1
NSE:BNKPSUINAV,6587393,BNKPSUINAV,MIRAEAMC - BNKPSUINAV,0,1
NSE:BOHRAIND,2979841,BOHRAIND,BOHRA INDUSTRIES,0,1
NSE:BOMDYEING,131329,BOMDYEING,BOMBAY DYEING & MFG. CO L,0,1
NSE:BONLON,194830337,BONLON,BONLON INDUSTRIES,0,1
NSE:BORANA,194027265,BORANA,BORANA WEAVES,0,1
NSE:BOROLTD,4966657,BOROLTD,BOROSIL,0,1
NSE:BORORENEW,806145,BORORENEW,BOROSIL RENEWABLES,0,1
NSE:BOROSCI,6147585,BOROSCI,BOROSIL SCIENTIFIC,0,1
NSE:BOSCHLTD,558337,BOSCHLTD,BOSCH,0,1
NSE:BPCL,134657,BPCL,BHARAT PETROLEUM CORP  LT,0,1
NSE:BPL,135681,BPL,BPL,0,1
NSE:BRIGADE,3887105,BRIGADE,BRIGADE ENTER.,0,1
NSE:BRIGHOTEL,193995265,BRIGHOTEL,BRIGADE HOTEL VENTURE,0,1
NSE:BRITANNIA,140033,BRITANNIA,BRITANNIA INDUSTRIES,0,1
